Name,Assets,Clean Assets,24h Inflows,7d Inflows,1m Inflows,Spot Volume,24h Open Interest,Avg Leverage,Custom range Inflows,Auditor,Last audit date
BitKan,26842697.064877942,26842697.064877942,26446.87212475221,-1713419.9473387108,-9820344.751251722,86004816.77773562,,,,,
BitVenus,23566482.523873456,23566482.523873456,97572.93148011898,-201775.18511397697,2513105.314297419,,,,,,
Okcoin,20285515.724038824,20285515.724038824,-16.436724595758168,-19786.746007369533,-53837.33851484193,,,,,,
WEEX,19832462.605387166,19832462.605387166,-256112.41462007695,2776754.477891002,-16230847.3271093,1142315182.139994,5796115123.618861,292.25392927474576,,,
Hibt,19331719.55377303,19331719.55377303,27889.943929941077,343767.34916594543,151232.13001523798,424009116.6727656,,,,,
BitMart,16567856.166826205,16567856.166826205,1077208.0260451883,653901.4727293483,12556966.502492491,1711702787.252416,5610953649.150917,338.66503865392804,,,
Bitlo,16553869.003435012,16553869.003435012,386.0863610937572,3061.6832504458334,-117245.56980438519,1206856.2158192247,,,,,
Coinsquare,14551966.439366944,14551966.439366944,0,73695.59192554996,2569343.5122197913,,,,,,
Tothemoon,13068522.903116433,13068522.903116433,-593806.86394783,2867582.8801903115,4294597.472287337,,,,,,
HashKey Global,12880395.446337316,12880395.446337316,-1848.7336309200855,-21026.517127527397,-850351.857055069,682697.4033664005,,,,,
LBank,12372581.469816063,12372581.469816063,-842148.8553954532,-758556.5596346478,2507901.84591341,1403726449.302027,,,,,
CEX.IO,10196938.501447128,10196938.501447128,-185705.74971743202,205296.91508488933,-1420493.6474802203,3670807.8169599753,,,,,
LeveX,9379851.45472033,9379851.45472033,2613.5710038788743,-107186.13630881501,170836.31552660558,11549385.473146876,79208492.3009029,8.444535895186476,,,
Hotcoin,7030819.087075347,7030819.087075347,-47262.99292467275,-253551.48985344224,-567116.7404813279,,,,,,
ProBit Global,6742399.316865612,6742399.316865612,-2394.601730271747,-379676.54794011306,-889399.1411432016,,,,,,
Fastex,9411260.022817077,6690668.810390896,-71205.70682685247,1058595.0938946581,-541995.4374116162,53089371.33743197,,,,,
P2PB2B,4523488.197944239,4523488.197944239,0,-1500.0709314109433,2315.015425625383,385909999.0738924,,,,,
Exmo,3638836.1328380667,3638836.1328380667,-65729.44519081888,-22030.588715342645,843145.3831417591,91133267.9433085,,,,,
BiTomato,2442212.099299946,2442212.099299946,0,0,0.009998576676643499,,,,,,
WOO X,2676850.997130804,2228137.460350776,-182340.49495396644,-1579809.0598039804,-2637893.215809866,677257.5224705,,,,,
Arkham Exchange,2013706.7814777466,2013706.7814777466,-4832.698235477692,-12561185.832600558,-23513805.261150435,,,,,,
NBX,1427925.73278943,1427925.73278943,-11600.324533904823,157475.6594828189,-316470.2079675259,12193.386079154772,,,,,
BTSE,1348487.8514603057,1348487.8514603057,0,0,0,610131189.3659556,,,,,
NonKYC,5528206.583195208,1155769.882511259,-42381.33925485695,-59932.423921469504,-56653.861165398856,15271265.850582892,,,,,
Bake.io,744661.2306615994,744661.2306615994,0,41519.87055455751,144676.94313625759,,,,,,
Latoken,285081.99953888316,285081.99953888316,-1.372628297963928,-31966.57977115846,-24753.494948496227,94769455.79537757,,,,,
CoinW,272021.0223875137,272021.0223875137,0,-128165.81011165082,-584434.2618973735,1388060230.2978585,,,,,
TradeOgre,69690.39054318285,69690.39054318285,0,0,69395.63513495853,,,,,,
Hotbit,65956.13805996696,65956.13805996696,0,0,-71945.53950381013,,,,,,
Klever Exchange,56680.198228076704,56680.198228076704,0,0,0,,,,,,
Tapbit,15522.019844720231,15522.019844720231,0,0,0,847246452.2543064,,,,,
Kraken,12022.688043114043,12022.688043114043,0,-31263154.7931778,-64419219.6956294,335940644.8984501,238373305.73358905,19826.95590859289,,,
Bitcointry,3195.636371191883,3191.354186583194,0,0,0,,,,,,
MaskEX,3021.149282172793,3021.149282172793,0,0,-13192.957432455081,,,,,,
Firi,28.86671209402121,28.86671209402121,0,0,0,,,,,,
BitMake,,,,,,,,,,,
Coinbase,,,,,,681683869.288143,,,,Deloitte,1640908800
Coinone,,,,,,239488411.27358148,,,,,1666369050
Coincheck,,,,,,20651788.122342575,,,,,
Bithumb,,,,,,397089128.35817724,,,,,
Poloniex,,,,,,548874463.2287621,,,,,
Upbit,,,,,,1178353780.2111642,,,,,
Bittrex,,,,,,,,,,,
AscendEX,,,,,,1348291414.8743038,51940724.55129995,,,,
bitFlyer,,,,,,20392155.058788367,0,,,,
BKEX,,,,,,,,,,,
BTCEX,,,,,,,,,,,
BTCC,,,,,,1431694964.3436086,,,,,
Deepcoin,,,,,,115706506.45883285,,,,,
Voyager,0,0,0,0,0,,,,,,
GroveX,,,,,,943400763.0220282,,,,,
